ScannerPro Engine data log recorded on 09/11/2012 22:03:03
,Time,AC Sw,Air Temp,Barometric Pressure,Batt Volts,Code 13,Code 13,Code 14,Code 14,Code 15,Code 15,Code 21,Code 21,Code 22,Code 22,Code 23,Code 23,Code 24,Code 24,Code 25,Code 25,Code 31,Code 31,Code 32,Code 32,Code 41,Code 41,Code 42,Code 42,Code 46,Code 46,Code 51,Code 51,Code 52,Code 52,ECUID,EGR,Elec Load,Evap Purge,IAC Duty Cycle,Idle Switch,Ignition Advance,Injector PW,LTFT,Manifold Pressure,Monitor1,Monitor2,O2 Sensor,O2S_Status,PS Switch,RPM,STFT,Target Idle,TFT,TPS Angle,TPS Volts,VSS,Water Temp,
Sample #,Seconds,,C,mBar,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,degrees (BTDC),ms,,mBar,,,mV,,,RPM,,RPM,,degrees,V,MPH,C,
33,9.852,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,06,1.63,000,364,7,128.00,0.136,Inactive,Inactive,0959,096,0964,123,0.49,0.000,000,060,
34,10.300,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,08,1.65,000,364,24,128.00,0.466,Inactive,Inactive,0965,096,0964,123,0.49,0.000,000,060,
35,10.428,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,08,1.65,000,364,24,192.00,0.466,Inactive,Inactive,0965,096,0964,123,0.49,0.000,000,060,
36,10.556,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,08,1.63,000,364,35,192.00,0.680,Inactive,Inactive,0962,096,0964,123,0.49,0.000,000,060,
37,11.004,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,10,1.61,000,364,41,192.00,0.796,Inactive,Inactive,0967,096,0964,123,0.49,0.000,000,060,
38,11.451,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,08,1.60,000,364,41,192.00,0.796,Inactive,Inactive,0968,096,0964,123,0.49,0.000,000,060,
39,11.579,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,08,1.60,000,364,41,128.00,0.796,Inactive,Inactive,0968,084,0964,123,0.49,0.000,000,060,
40,11.707,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,09,1.60,000,364,39,128.00,0.757,Inactive,Inactive,0961,084,0964,123,0.49,0.000,000,060,
41,12.155,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,09,2.59,000,481,44,128.00,0.854,Inactive,Inactive,1082,084,0964,123,0.49,0.000,000,060,
42,12.603,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,26,1.57,000,351,48,128.00,0.932,Inactive,Inactive,1777,084,0964,123,0.49,0.000,000,060,
43,12.731,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,26,1.57,000,351,48,0.00,0.932,Inactive,Inactive,1777,072,0964,123,3.43,0.000,000,060,
44,12.859,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,27,1.34,000,305,48,0.00,0.932,Inactive,Inactive,1793,072,0964,123,3.43,0.000,000,060,
45,13.323,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,26,1.37,000,299,47,0.00,0.913,Inactive,Inactive,1677,072,0964,123,3.43,0.000,000,060,
46,13.771,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,23,1.43,000,318,39,0.00,0.757,Inactive,Inactive,1560,072,0964,123,3.43,0.000,000,060,
47,13.899,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,23,1.43,000,318,39,128.00,0.757,Inactive,Inactive,1560,061,0964,123,2.94,0.000,000,060,
48,14.027,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,22,1.47,000,331,34,128.00,0.660,Inactive,Inactive,1515,061,0964,123,2.94,0.000,000,060,
49,14.475,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,27,1.29,000,286,7,128.00,0.136,Inactive,Inactive,1437,061,0964,123,2.94,0.000,000,060,
50,14.922,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,22,1.37,000,299,35,128.00,0.680,Inactive,Inactive,1234,061,0964,123,2.94,0.000,000,060,
51,15.050,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,22,1.37,000,299,35,128.00,0.680,Inactive,Inactive,1234,084,0956,122,0.49,0.000,000,060,
52,15.178,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,19,1.47,000,318,7,128.00,0.136,Inactive,Inactive,1131,084,0956,122,0.49,0.000,000,060,
53,15.626,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,18,1.55,000,338,5,128.00,0.097,Inactive,Inactive,1083,084,0956,122,0.49,0.000,000,060,
54,16.074,Inactive,023,-193,0.000,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,On,Off,Off,00,Open,19,1.56,000,331,5,128.00,0.097,Inactive,Inactive,1131,084,0956,122,0.49,0.000,000,060,
