ScannerPro Engine data log recorded on 09/15/2012 11:30:03
,Time,AC Sw,Air Temp,Barometric Pressure,Batt Volts,Code 13,Code 13,Code 14,Code 14,Code 15,Code 15,Code 21,Code 21,Code 22,Code 22,Code 23,Code 23,Code 24,Code 24,Code 25,Code 25,Code 31,Code 31,Code 32,Code 32,Code 41,Code 41,Code 42,Code 42,Code 46,Code 46,Code 51,Code 51,Code 52,Code 52,ECUID,EGR,Elec Load,Evap Purge,IAC Duty Cycle,Idle Switch,Ignition Advance,Injector PW,LTFT,Manifold Pressure,Monitor1,Monitor2,O2 Sensor,O2S_Status,PS Switch,RPM,STFT,Target Idle,TFT,TPS Angle,VSS,Water Temp,
Sample #,Seconds,,C,mBar,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,degrees (BTDC),ms,,mBar,,,mV,,,RPM,,RPM,,degrees,MPH,C,
33,4.078,Inactive,023,1013,11.563,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Code 42 - Crank Angle Sensor,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,Off,Off,Off,46,Idle,05,0.66,128,1025,187,192.00,0.000,Inactive,Inactive,0000,128,1560,128,4.90,000,017,
34,4.206,Inactive,023,1013,11.563,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Code 42 - Crank Angle Sensor,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,Off,Off,Off,46,Idle,05,0.66,128,1025,187,192.00,0.000,Inactive,Inactive,0000,128,1560,128,4.90,000,017,
35,4.334,Inactive,023,1013,11.563,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Code 42 - Crank Angle Sensor,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,Off,Off,Off,46,Idle,05,0.66,128,1025,187,192.00,0.000,Inactive,Inactive,0000,128,1560,128,4.90,000,017,
36,4.462,Inactive,023,1013,11.563,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Code 42 - Crank Angle Sensor,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,Off,Off,Off,46,Idle,05,0.66,128,1025,187,192.00,0.000,Inactive,Inactive,0000,128,1560,128,4.90,000,017,
37,4.590,Inactive,023,1013,11.563,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Code 42 - Crank Angle Sensor,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,Off,Off,Off,46,Idle,05,0.66,128,1025,187,192.00,0.000,Inactive,Inactive,0000,128,1560,128,4.90,000,017,
38,4.718,Inactive,023,1013,11.563,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Code 42 - Crank Angle Sensor,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,Off,Off,Off,46,Idle,05,0.66,128,1025,187,192.00,0.000,Inactive,Inactive,0000,128,1560,128,4.90,000,017,
39,4.846,Inactive,023,1013,11.563,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Code 42 - Crank Angle Sensor,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,Off,Off,Off,46,Idle,05,0.66,128,1025,187,192.00,0.000,Inactive,Inactive,0000,128,1560,128,4.90,000,017,
40,4.974,Inactive,023,1013,11.563,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Code 42 - Crank Angle Sensor,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,Off,Off,Off,46,Idle,05,0.66,128,1025,187,192.00,0.000,Inactive,Inactive,0000,128,1560,128,4.90,000,017,
41,5.102,Inactive,023,1013,11.563,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Code 42 - Crank Angle Sensor,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,Off,Off,Off,46,Idle,05,0.66,128,1025,187,192.00,0.000,Inactive,Inactive,0000,128,1560,128,4.90,000,017,
42,5.230,Inactive,023,1013,11.563,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Clear,Code 42 - Crank Angle Sensor,Clear,Clear,Clear,Clear,Clear,Clear,Incorrect ECU ID,Off,Off,Off,46,Idle,05,0.66,128,1025,187,192.00,0.000,Inactive,Inactive,0000,128,1560,128,4.90,000,017,
